RUN	computerdatabase.BasicSimulation	basicsimulation	1591797185361	Debug BasicSimulation	3.3.0
USER	Scenario Name	1	START	1591797186044	1591797186044
REQUEST	1		request_1	1591797186067	1591797186146	OK	 
REQUEST	1		request_1 Redirect 1	1591797186168	1591797186287	OK	 
REQUEST	1		request_1 Redirect 2	1591797186288	1591797186317	OK	 
REQUEST	1		request_2	1591797193339	1591797193363	OK	 
REQUEST	1		request_2 Redirect 1	1591797193364	1591797193393	OK	 
REQUEST	1		request_3	1591797195399	1591797195421	OK	 
REQUEST	1		request_3 Redirect 1	1591797195423	1591797195451	OK	 
REQUEST	1		request_4 Redirect 1	1591797198440	1591797198464	OK	 
REQUEST	1		request_4 Redirect 2	1591797198466	1591797198494	OK	 
REQUEST	1		request_5	1591797200499	1591797200522	OK	 
REQUEST	1		request_5 Redirect 1	1591797200524	1591797200553	OK	 
REQUEST	1		request_6	1591797201219	1591797201242	OK	 
REQUEST	1		request_6 Redirect 1	1591797201247	1591797201275	OK	 
REQUEST	1		request_7	1591797201910	1591797201934	OK	 
REQUEST	1		request_7 Redirect 1	1591797201936	1591797201964	OK	 
REQUEST	1		request_8	1591797202699	1591797202722	OK	 
REQUEST	1		request_8 Redirect 1	1591797202725	1591797202754	OK	 
REQUEST	1		request_9	1591797207760	1591797207783	OK	 
REQUEST	1		request_9 Redirect 1	1591797207785	1591797207811	OK	 
REQUEST	1		request_10	1591797208814	1591797208837	OK	 
REQUEST	1		request_10 Redirect 1	1591797208841	1591797208867	OK	 
REQUEST	1		request_10 Redirect 2	1591797208876	1591797208905	OK	 
USER	Scenario Name	1	END	1591797186044	1591797208916
